t,theta_ec
   5.3899998795241117      ,   8.8318491839109808E-002
   5.3999998793005943      ,   8.9400355734819345E-002
   5.4099998790770769      ,   9.0473279595355047E-002
   5.4199998788535595      ,   9.1537156128335656E-002
   5.4299998786300421      ,   9.2591878946112635E-002
   5.4399998784065247      ,   9.3637342576408919E-002
   5.4499998781830072      ,   9.4673442472866159E-002
   5.4599998779594898      ,   9.5700075025499334E-002
   5.4699998777359724      ,   9.6717137571057779E-002
   5.4799998775124550      ,   9.7724528403291475E-002
   5.4899998772889376      ,   9.8722146783121703E-002
   5.4999998770654202      ,   9.9709892948714934E-002
   5.5099998768419027      ,  0.10068766812545904     
   5.5199998766183853      ,  0.10165537453584071     
   5.5299998763948679      ,  0.10261291540922322     
   5.5399998761713505      ,  0.10356019499152354     
   5.5499998759478331      ,  0.10449711855478765     
   5.5599998757243156      ,  0.10542359240666341     
   5.5699998755007982      ,  0.10633952389976979     
   5.5799998752772808      ,  0.10724482144096158     
   5.5899998750537634      ,  0.10813939450048868     
   5.5999998748302460      ,  0.10902315362104915     
   5.6099998746067286      ,  0.10989601042673490     
   5.6199998743832111      ,  0.11075787763186924     
   5.6299998741596937      ,  0.11160866904973553     
   5.6399998739361763      ,  0.11244829960119576     
   5.6499998737126589      ,  0.11327668532319857     
   5.6599998734891415      ,  0.11409374337717544     
   5.6699998732656240      ,  0.11489939205732463     
   5.6799998730421066      ,  0.11569355079878173     
   5.6899998728185892      ,  0.11647614018567613     
   5.6999998725950718      ,  0.11724708195907266     
   5.7099998723715544      ,  0.11800629902479742     
   5.7199998721480370      ,  0.11875371546114723     
   5.7299998719245195      ,  0.11948925652648179     
   5.7399998717010021      ,  0.12021284866669786     
   5.7499998714774847      ,  0.12092441952258466     
   5.7599998712539673      ,  0.12162389793705977     
   5.7699998710304499      ,  0.12231121396228488     
   5.7799998708069324      ,  0.12298629886666053     
   5.7899998705834150      ,  0.12364908514169931     
   5.7999998703598976      ,  0.12429950650877668     
   5.8099998701363802      ,  0.12493749792575883     
   5.8199998699128628      ,  0.12556299559350692     
   5.8299998696893454      ,  0.12617593696225696     
   5.8399998694658279      ,  0.12677626073787482     
   5.8499998692423105      ,  0.12736390688798563     
   5.8599998690187931      ,  0.12793881664797702     
   5.8699998687952757      ,  0.12850093252687553     
   5.8799998685717583      ,  0.12905019831309580     
   5.8899998683482409      ,  0.12958655908006167     
   5.8999998681247234      ,  0.13010996119169882     
   5.9099998679012060      ,  0.13062035230779845     
   5.9199998676776886      ,  0.13111768138925120     
   5.9299998674541712      ,  0.13160189870315117     
   5.9399998672306538      ,  0.13207295582776912     
   5.9499998670071363      ,  0.13253080565739472     
   5.9599998667836189      ,  0.13297540240704706     
   5.9699998665601015      ,  0.13340670161705312     
   5.9799998663365841      ,  0.13382466015749384     
   5.9899998661130667      ,  0.13422923623251706     
   5.9999998658895493      ,  0.13462038938451709     
   6.0099998656660318      ,  0.13499808049818046     
   6.0199998654425144      ,  0.13536227180439750     
   6.0299998652189970      ,  0.13571292688403921     
   6.0399998649954796      ,  0.13605001067159922     
   6.0499998647719622      ,  0.13637348945870026     
   6.0599998645484447      ,  0.13668333089746507     
   6.0699998643249273      ,  0.13697950400375114     
   6.0799998641014099      ,  0.13726197916024918     
   6.0899998638778925      ,  0.13753072811944481     
   6.0999998636543751      ,  0.13778572400644329     
   6.1099998634308577      ,  0.13802694132165708     
   6.1199998632073402      ,  0.13825435594335575     
   6.1299998629838228      ,  0.13846794513007812     
   6.1399998627603054      ,  0.13866768752290648     
   6.1499998625367880      ,  0.13885356314760244     
   6.1599998623132706      ,  0.13902555341660436     
   6.1699998620897532      ,  0.13918364113088613     
   6.1799998618662357      ,  0.13932781048167700     
   6.1899998616427183      ,  0.13945804705204254     
   6.1999998614192009      ,  0.13957433781832632     
   6.2099998611956835      ,  0.13967667115145219     
   6.2199998609721661      ,  0.13976503681808733     
   6.2299998607486486      ,  0.13983942598166546     
   6.2399998605251312      ,  0.13989983120327054     
   6.2499998603016138      ,  0.13994624644238071     
   6.2599998600780964      ,  0.13997866705747225     
   6.2699998598545790      ,  0.13999708980648379     
   6.2799998596310616      ,  0.14000151284714052     
   6.2899998594075441      ,  0.13999193573713839     
   6.2999998591840267      ,  0.13996835943418837     
   6.3099998589605093      ,  0.13993078629592062     
   6.3199998587369919      ,  0.13987922007964884     
   6.3299998585134745      ,  0.13981366594199440     
   6.3399998582899570      ,  0.13973413043837077     
   6.3499998580664396      ,  0.13964062152232795     
   6.3599998578429222      ,  0.13953314854475715     
   6.3699998576194048      ,  0.13941172225295564     
   6.3799998573958874      ,  0.13927635478955205     
   6.3899998571723700      ,  0.13912705969129213     
   6.3999998569488525      ,  0.13896385188768501     
   6.4099998567253351      ,  0.13878674769951035     
   6.4199998565018177      ,  0.13859576483718616     
   6.4299998562783003      ,  0.13839092239899783     
   6.4399998560547829      ,  0.13817224086918825     
   6.4499998558312654      ,  0.13793974211590943     
   6.4599998556077480      ,  0.13769344938903566     
   6.4699998553842306      ,  0.13743338731783852     
   6.4799998551607132      ,  0.13715958190852398     
   6.4899998549371958      ,  0.13687206054163173     
   6.4999998547136784      ,  0.13657085196929719     
   6.5099998544901609      ,  0.13625598631237623     
   6.5199998542666435      ,  0.13592749505743315     
   6.5299998540431261      ,  0.13558541105359195     
   6.5399998538196087      ,  0.13522976850925153     
   6.5499998535960913      ,  0.13486060298866470     
   6.5599998533725739      ,  0.13447795140838187     
   6.5699998531490564      ,  0.13408185203355938     
   6.5799998529255390      ,  0.13367234447413293     
   6.5899998527020216      ,  0.13324946968085660     
   6.5999998524785042      ,  0.13281326994120787     
   6.6099998522549868      ,  0.13236378887515873     
   6.6199998520314693      ,  0.13190107143081381     
   6.6299998518079519      ,  0.13142516387991543     
   6.6399998515844345      ,  0.13093611381321660     
   6.6499998513609171      ,  0.13043397013572175     
   6.6599998511373997      ,  0.12991878306179644     
   6.6699998509138823      ,  0.12939060411014572     
   6.6799998506903648      ,  0.12884948609866240     
   6.6899998504668474      ,  0.12829548313914521     
   6.6999998502433300      ,  0.12772865063188765     
   6.7099998500198126      ,  0.12714904526013790     
   6.7199998497962952      ,  0.12655672498443052     
   6.7299998495727777      ,  0.12595174903679046     
   6.7399998493492603      ,  0.12533417791480977     
   6.7499998491257429      ,  0.12470407337559788     
   6.7599998489022255      ,  0.12406149842960590     
   6.7699998486787081      ,  0.12340651733432556     
