t,theta
   1.1599999740719795      ,   5.7029134104313761E-002
   1.1699999738484621      ,   5.5778809923834549E-002
   1.1799999736249447      ,   5.4523535916626065E-002
   1.1899999734014273      ,   5.3263439894131556E-002
   1.1999999731779099      ,   5.1998650093993258E-002
   1.2099999729543924      ,   5.0729295166931233E-002
   1.2199999727308750      ,   4.9455504163579959E-002
   1.2299999725073576      ,   4.8177406521284084E-002
   1.2399999722838402      ,   4.6895132050854813E-002
   1.2499999720603228      ,   4.5608810923288404E-002
   1.2599999718368053      ,   4.4318573656448271E-002
   1.2699999716132879      ,   4.3024551101712154E-002
   1.2799999713897705      ,   4.1726874430585904E-002
   1.2899999711662531      ,   4.0425675121285372E-002
   1.2999999709427357      ,   3.9121084945287876E-002
   1.3099999707192183      ,   3.7813235953854885E-002
