t,theta
   54.459998782724142      ,  -1.9375183924846849E-002
   54.469998782500625      ,  -1.9067817011581060E-002
   54.479998782277107      ,  -1.8758697115695583E-002
   54.489998782053590      ,  -1.8447856020141172E-002
   54.499998781830072      ,  -1.8135325664247016E-002
   54.509998781606555      ,  -1.7821138140449121E-002
   54.519998781383038      ,  -1.7505325691004867E-002
   54.529998781159520      ,  -1.7187920704694076E-002
   54.539998780936003      ,  -1.6868955713506922E-002
   54.549998780712485      ,  -1.6548463389319017E-002
   54.559998780488968      ,  -1.6226476540554032E-002
   54.569998780265450      ,  -1.5903028108834164E-002
   54.579998780041933      ,  -1.5578151165618833E-002
   54.589998779818416      ,  -1.5251878908831906E-002
   54.599998779594898      ,  -1.4924244659477819E-002
   54.609998779371381      ,  -1.4595281858246947E-002
   54.619998779147863      ,  -1.4265024062110545E-002
   54.629998778924346      ,  -1.3933504940905631E-002
   54.639998778700829      ,  -1.3600758273910142E-002
   54.649998778477311      ,  -1.3266817946408731E-002
   54.659998778253794      ,  -1.2931717946249531E-002
   54.669998778030276      ,  -1.2595492360392256E-002
   54.679998777806759      ,  -1.2258175371447985E-002
   54.689998777583241      ,  -1.1919801254210979E-002
   54.699998777359724      ,  -1.1580404372182893E-002
   54.709998777136207      ,  -1.1240019174089719E-002
   54.719998776912689      ,  -1.0898680190391840E-002
   54.729998776689172      ,  -1.0556422029787526E-002
   54.739998776465654      ,  -1.0213279375710241E-002
   54.749998776242137      ,  -9.8692869828201218E-003
   54.759998776018620      ,  -9.5244796734899693E-003
   54.769998775795102      ,  -9.1788923342861241E-003
   54.779998775571585      ,  -8.8325599124445767E-003
   54.789998775348067      ,  -8.4855174123426805E-003
   54.799998775124550      ,  -8.1377998919668071E-003
   54.809998774901032      ,  -7.7894424593763188E-003
   54.819998774677515      ,  -7.4404802691642197E-003
   54.829998774453998      ,  -7.0909485189148283E-003
   54.839998774230480      ,  -6.7408824456588459E-003
   54.849998774006963      ,  -6.3903173223261740E-003
   54.859998773783445      ,  -6.0392884541968419E-003
   54.869998773559928      ,  -5.6878311753504060E-003
   54.879998773336411      ,  -5.3359808451141763E-003
   54.889998773112893      ,  -4.9837728445106333E-003
   54.899998772889376      ,  -4.6312425727043959E-003
   54.909998772665858      ,  -4.2784254434490993E-003
   54.919998772442341      ,  -3.9253568815345377E-003
   54.929998772218823      ,  -3.5720723192344409E-003
   54.939998771995306      ,  -3.2186071927552333E-003
   54.949998771771789      ,  -2.8649969386861434E-003
   54.959998771548271      ,  -2.5112769904510161E-003
   54.969998771324754      ,  -2.1574827747621911E-003
   54.979998771101236      ,  -1.8036497080768002E-003
   54.989998770877719      ,  -1.4498131930558451E-003
   54.999998770654202      ,  -1.0960086150264125E-003
   55.009998770430684      ,  -7.4227133844738022E-004
   55.019998770207167      ,  -3.8863670337897370E-004
   55.029998769983649      ,  -3.5140021956527002E-005
   55.039998769760132      ,   3.1818342513119694E-004
   55.049998769536614      ,   6.7129839215877190E-004
   55.059998769313097      ,   1.0241696718756065E-003
   55.069998769089580      ,   1.3767620990118217E-003
   55.079998768866062      ,   1.7290405537781564E-003
   55.089998768642545      ,   2.0809699653595482E-003
   55.099998768419027      ,   2.4325153154020410E-003
   55.109998768195510      ,   2.7836416414926670E-003
   55.119998767971992      ,   3.1343140406319579E-003
   55.129998767748475      ,   3.4844976726987340E-003
   55.139998767524958      ,   3.8341577639068270E-003
   55.149998767301440      ,   4.1832596102533903E-003
   55.159998767077923      ,   4.5317685809584491E-003
   55.169998766854405      ,   4.8796501218953551E-003
   55.179998766630888      ,   5.2268697590117904E-003
   55.189998766407371      ,   5.5733931017409918E-003
   55.199998766183853      ,   5.9191858464028493E-003
   55.209998765960336      ,   6.2642137795945393E-003
   55.219998765736818      ,   6.6084427815703605E-003
   55.229998765513301      ,   6.9518388296104265E-003
   55.239998765289783      ,   7.2943680013778942E-003
   55.249998765066266      ,   7.6359964782643812E-003
   55.259998764842749      ,   7.9766905487232472E-003
   55.269998764619231      ,   8.3164166115904103E-003
   55.279998764395714      ,   8.6551411793923637E-003
   55.289998764172196      ,   8.9928308816410694E-003
   55.299998763948679      ,   9.3294524681154008E-003
   55.309998763725162      ,   9.6649728121288130E-003
   55.319998763501644      ,   9.9993589137829155E-003
   55.329998763278127      ,   1.0332577903206627E-002
   55.339998763054609      ,   1.0664597043780595E-002
   55.349998762831092      ,   1.0995383735346555E-002
   55.359998762607574      ,   1.1324905517401330E-002
   55.369998762384057      ,   1.1653130072275133E-002
   55.379998762160540      ,   1.1980025228293886E-002
   55.389998761937022      ,   1.2305558962925222E-002
   55.399998761713505      ,   1.2629699405907881E-002
   55.409998761489987      ,   1.2952414842364181E-002
   55.419998761266470      ,   1.3273673715895261E-002
   55.429998761042953      ,   1.3593444631658805E-002
   55.439998760819435      ,   1.3911696359428925E-002
   55.449998760595918      ,   1.4228397836637933E-002
   55.459998760372400      ,   1.4543518171399676E-002
   55.469998760148883      ,   1.4857026645514165E-002
   55.479998759925365      ,   1.5168892717453192E-002
   55.489998759701848      ,   1.5479086025326645E-002
   55.499998759478331      ,   1.5787576389829243E-002
   55.509998759254813      ,   1.6094333817167392E-002
   55.519998759031296      ,   1.6399328501965901E-002
   55.529998758807778      ,   1.6702530830154244E-002
