theta,periodo_anl
  0.62046454908398951      ,  0.71169892504242627     
  0.61261056745001508      ,  0.70088268087104233     
  0.60475658581604064      ,  0.69009655818166538     
  0.59690260418206620      ,  0.67933999966609937     
  0.58904862254809176      ,  0.66861245398481051     
  0.58119464091411732      ,  0.65791337562603114     
  0.57334065928014288      ,  0.64724222476773507     
  0.56548667764616845      ,  0.63659846714240353     
  0.55763269601219401      ,  0.62598157390450793     
  0.54977871437821957      ,  0.61539102150060565     
  0.54192473274424513      ,  0.60482629154199474     
  0.53407075111027069      ,  0.59428687067982833     
  0.52621676947629625      ,  0.58377225048263270     
  0.51836278784232181      ,  0.57328192731613847     
  0.51050880620834738      ,  0.56281540222537085     
  0.50265482457437294      ,  0.55237218081892225     
  0.49480084294039844      ,  0.54195177315533838     
